nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	WDSsep	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	WDSsep	name	
0	2.77381	5.06593	3.47225	0.00000	2.16491	5.78976	2.69200	5.77423	0.23819	0.27245	0.00900	0.64114	0.03731	0.03731	0.00160	0.00218	14.53667	0.05573	507.72913	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	1.42269	15.14202	5.59494	0.00000	2.16491	1.68531	3.26082	6.11704	0.55575	0.54878	0.01031	0.64114	0.07743	0.07743	0.00452	0.00453	3.37623	0.29912	308.01345	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	0.61302	63.70411	0.12833	0.00000	2.16491	1.59235	5.58881	3.22913	0.68454	0.23266	0.05027	0.64114	0.20178	0.20178	0.01040	0.01180	0.49711	0.11828	175.14768	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	1.68297	100.64539	2.15490	0.00000	2.16491	4.62035	5.96423	2.87788	0.26704	0.51659	0.04086	0.64114	0.27371	0.27371	0.01425	0.01601	0.27016	0.12403	185.66445	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	1.59927	176.26336	3.06594	0.00000	2.16491	1.93914	5.18897	5.84689	0.79553	0.53695	0.01903	0.64114	0.39768	0.39768	0.01304	0.02326	0.12798	0.84958	111.94183	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	3.32188	279.80256	9.39715	0.00000	2.16491	0.42822	2.04973	5.41550	0.00497	0.34915	0.04780	0.64114	0.54116	0.54116	0.02031	0.03165	0.06911	0.03420	142.52749	6	0.48181	0.27000	3136.39233	17.10000	M	50.84341	11.68704	171.48414	-36.48160	inf	G5-32
0	0.56200	17.04443	0.09599	0.00000	1.38747	0.06214	3.65085	1.25343	0.40189	0.38466	0.00242	6.14649	0.05766	0.05766	0.00082	0.00314	0.17448	0.96715	158.19297	7	0.11600	0.08800	2630.00000	18.38000	M	351.86020	-17.69244	54.52009	-68.45931	inf	LP822-7
0	1.16149	0.88288	1.10961	0.00000	1.83467	4.69227	5.72899	4.22723	0.50031	0.56131	0.01806	0.23072	0.00801	0.00801	0.00053	0.00061	9.03635	0.60184	405.72024	8	0.11600	0.08800	2630.00000	13.23000	M	217.01731	13.93704	7.43352	63.89181	inf	LP500-35
0	4.58348	331.49272	11.56315	0.00000	1.83467	2.04655	0.71962	5.05969	0.72754	0.26372	0.09747	0.23072	0.41698	0.41698	0.02788	0.03152	0.00334	0.58661	48.32654	8	0.11600	0.08800	2630.00000	13.23000	M	217.01731	13.93704	7.43352	63.89181	inf	LP500-35
0	1.06227	1.94480	0.62079	0.00000	1.63988	0.29228	4.01561	3.31174	0.79762	0.02970	0.07594	2.37564	0.01734	0.01734	0.00060	0.00118	34.00638	0.01542	450.80300	9	0.36607	0.18400	3033.92871	14.66000	M	127.87550	73.06272	141.29716	33.08246	inf	G252-13
0	1.32181	49.85763	1.71530	0.00000	1.63988	2.27886	0.55047	1.67837	0.20289	0.11577	0.09708	2.37564	0.15080	0.15080	0.00632	0.01029	0.44987	0.02934	215.37966	9	0.36607	0.18400	3033.92871	14.66000	M	127.87550	73.06272	141.29716	33.08246	inf	G252-13
0	0.99320	170.82984	0.82996	0.00000	1.63988	5.44814	4.74885	3.11150	0.46133	0.45278	0.09565	2.37564	0.34273	0.34273	0.00162	0.02338	0.08709	0.00004	129.53218	9	0.36607	0.18400	3033.92871	14.66000	M	127.87550	73.06272	141.29716	33.08246	inf	G252-13
0	0.50507	1.78137	0.15150	0.00000	1.17126	2.24129	5.74939	3.40356	0.09978	0.43006	0.04781	0.42247	0.01636	0.01636	0.00158	0.00163	14.39771	0.20443	528.09799	10	0.21700	0.18400	3087.00000	10.02000	M	240.71227	20.58918	35.12172	46.00682	inf	G137-78
0	1.25454	133.17543	2.11067	0.00000	1.17126	0.68983	3.98039	3.55148	0.47803	0.58194	0.07929	0.42247	0.29031	0.29031	0.01409	0.02897	0.04572	0.01353	109.39094	10	0.21700	0.18400	3087.00000	10.02000	M	240.71227	20.58918	35.12172	46.00682	inf	G137-78
0	2.08296	27.24418	7.63688	0.00000	1.44236	5.95392	1.16580	3.38708	0.04537	0.24602	0.08756	3.60841	0.08813	0.08813	0.00105	0.00520	0.20806	0.98008	185.80637	11	0.15600	0.12300	2930.00000	16.96000	M	68.65764	19.10140	178.61587	-18.87534	inf	LP415-217
0	1.90146	54.73876	4.18489	0.00000	1.44236	3.59303	0.59943	0.92116	0.73997	0.49381	0.00251	3.60841	0.14033	0.14033	0.00114	0.00827	0.08207	0.00028	106.37740	11	0.15600	0.12300	2930.00000	16.96000	M	68.65764	19.10140	178.61587	-18.87534	inf	LP415-217
0	5.01256	204.10662	30.02233	0.00000	1.44236	6.08691	1.91387	5.04146	0.36414	0.59093	0.03619	3.60841	0.33743	0.33743	0.01565	0.01990	0.01419	0.07243	85.78583	11	0.15600	0.12300	2930.00000	16.96000	M	68.65764	19.10140	178.61587	-18.87534	inf	LP415-217
0	3.39951	6.45211	17.87493	0.00000	1.42814	1.04623	0.14217	3.08036	0.75254	0.31491	0.06809	0.72905	0.04384	0.04384	0.00244	0.00245	4.28695	0.35934	282.46663	12	0.30000	0.27000	3175.00000	17.91000	M	333.85895	66.22437	108.08815	7.95781	inf	G264-22
0	2.33272	14.43181	4.45356	0.00000	1.42814	2.73223	4.09851	0.19694	0.56049	0.31509	0.00968	0.72905	0.07498	0.07498	0.00178	0.00419	1.46552	0.91387	249.34054	12	0.30000	0.27000	3175.00000	17.91000	M	333.85895	66.22437	108.08815	7.95781	inf	G264-22
0	0.61574	74.83492	0.29421	0.00000	1.42814	0.45200	1.85097	4.31690	0.18242	0.49057	0.03692	0.72905	0.22464	0.22464	0.01246	0.01254	0.16328	0.37733	168.23771	12	0.30000	0.27000	3175.00000	17.91000	M	333.85895	66.22437	108.08815	7.95781	inf	G264-22
0	0.60434	90.05952	0.47407	0.00000	1.42814	5.47567	1.34273	6.16556	0.32020	0.21757	0.09164	0.72905	0.25416	0.25416	0.00517	0.01419	0.12756	0.00542	151.03490	12	0.30000	0.27000	3175.00000	17.91000	M	333.85895	66.22437	108.08815	7.95781	inf	G264-22
0	0.85475	260.78866	0.57137	0.00000	1.42814	5.19198	6.25531	2.88430	0.13777	0.07589	0.01044	0.72905	0.51636	0.51636	0.02769	0.02883	0.03091	0.19150	112.45223	12	0.30000	0.27000	3175.00000	17.91000	M	333.85895	66.22437	108.08815	7.95781	inf	G264-22
0	0.89838	27.34856	0.40159	0.00000	1.42746	3.79880	3.62660	4.57168	0.18799	0.30103	0.02809	5.16700	0.07902	0.07902	0.00163	0.00448	0.09289	0.00538	145.85806	13	0.11600	0.08800	2630.00000	17.64000	M	229.16965	39.18011	64.08074	57.56485	inf	LP222-65
0	0.87885	91.39627	0.52588	0.00000	1.42746	5.19326	5.70054	0.84407	0.26881	0.23752	0.08251	5.16700	0.17664	0.17664	0.00968	0.01001	0.01859	0.20088	95.03484	13	0.11600	0.08800	2630.00000	17.64000	M	229.16965	39.18011	64.08074	57.56485	inf	LP222-65
0	1.15759	215.62383	2.02490	0.00000	1.42746	2.88712	0.66023	3.01452	0.07027	0.29508	0.04708	5.16700	0.31304	0.31304	0.01534	0.01775	0.00592	0.61103	75.80690	13	0.11600	0.08800	2630.00000	17.64000	M	229.16965	39.18011	64.08074	57.56485	inf	LP222-65
